GEOID,tract_2010,nta_name_2010,borough,income_pre_2015_2019,income_post_2020_2024,income_change_abs,income_change_pct,change_class,has_valid_income_pair
14000US36085000900,000900,West New Brighton-New Brighton-St. George,Staten Island,50543,66208,15665,30.99,"Increase $5k-$19,999",1
14000US36061010200,010200,Midtown-Midtown South,Manhattan,,,,,No data,0
14000US36061010400,010400,Midtown-Midtown South,Manhattan,125882,193026,67144,53.34,Increase >= $40k,1
14000US36061011300,011300,Midtown-Midtown South,Manhattan,95313,93750,-1563,-1.64,Roughly unchanged (within +/-$5k),1
14000US36061013000,013000,Upper East Side-Carnegie Hill,Manhattan,196964,212414,15450,7.84,"Increase $5k-$19,999",1
14000US36061018400,018400,East Harlem North,Manhattan,22738,51866,29128,128.10,"Increase $20k-$39,999",1
14000US36061020600,020600,Central Harlem North-Polo Grounds,Manhattan,31625,50864,19239,60.83,"Increase $5k-$19,999",1
14000US36061024900,024900,Washington Heights South,Manhattan,43182,68000,24818,57.47,"Increase $20k-$39,999",1
14000US36047000501,000501,Brooklyn Heights-Cobble Hill,Brooklyn,133750,141364,7614,5.69,"Increase $5k-$19,999",1
14000US36047005800,005800,Bay Ridge,Brooklyn,64875,77648,12773,19.69,"Increase $5k-$19,999",1
14000US36047006000,006000,Bay Ridge,Brooklyn,100324,88542,-11782,-11.74,"Decline $5k-$19,999",1
14000US36047007400,007400,Sunset Park West,Brooklyn,33934,73454,39520,116.46,"Increase $20k-$39,999",1
14000US36047007800,007800,Sunset Park West,Brooklyn,43792,79981,36189,82.64,"Increase $20k-$39,999",1
14000US36047009800,009800,Sunset Park East,Brooklyn,46250,60679,14429,31.20,"Increase $5k-$19,999",1
14000US36047010400,010400,Sunset Park East,Brooklyn,44288,,,,No data,0
14000US36047013700,013700,Park Slope-Gowanus,Brooklyn,116438,170600,54162,46.52,Increase >= $40k,1
14000US36047013900,013900,Park Slope-Gowanus,Brooklyn,143169,173378,30209,21.10,"Increase $20k-$39,999",1
14000US36047017000,017000,Bath Beach,Brooklyn,76857,102417,25560,33.26,"Increase $20k-$39,999",1
14000US36047018800,018800,Bensonhurst West,Brooklyn,76422,38227,-38195,-49.98,"Decline $20k-$39,999",1
14000US36047019000,019000,Bensonhurst West,Brooklyn,50875,48824,-2051,-4.03,Roughly unchanged (within +/-$5k),1
14000US36047019400,019400,Dyker Heights,Brooklyn,44258,66080,21822,49.31,"Increase $20k-$39,999",1
14000US36047019600,019600,Dyker Heights,Brooklyn,47389,74292,26903,56.77,"Increase $20k-$39,999",1
14000US36047019800,019800,Dyker Heights,Brooklyn,67813,78673,10860,16.01,"Increase $5k-$19,999",1
14000US36047020400,020400,Dyker Heights,Brooklyn,102000,143162,41162,40.35,Increase >= $40k,1
14000US36047021200,021200,Dyker Heights,Brooklyn,44967,56250,11283,25.09,"Increase $5k-$19,999",1
14000US36047022200,022200,Borough Park,Brooklyn,33088,52361,19273,58.25,"Increase $5k-$19,999",1
14000US36047023600,023600,Borough Park,Brooklyn,26855,39479,12624,47.01,"Increase $5k-$19,999",1
14000US36047023800,023800,Borough Park,Brooklyn,33780,43843,10063,29.79,"Increase $5k-$19,999",1
14000US36047024000,024000,Borough Park,Brooklyn,39034,37833,-1201,-3.08,Roughly unchanged (within +/-$5k),1
14000US36047024200,024200,Borough Park,Brooklyn,63698,59276,-4422,-6.94,Roughly unchanged (within +/-$5k),1
14000US36047024600,024600,Borough Park,Brooklyn,51354,71711,20357,39.64,"Increase $20k-$39,999",1
14000US36047024900,024900,Bedford,Brooklyn,70268,84746,14478,20.60,"Increase $5k-$19,999",1
14000US36047025200,025200,Bensonhurst West,Brooklyn,60173,54012,-6161,-10.24,"Decline $5k-$19,999",1
14000US36047025800,025800,Bensonhurst West,Brooklyn,50625,67167,16542,32.68,"Increase $5k-$19,999",1
14000US36047026000,026000,Bensonhurst West,Brooklyn,48214,68043,19829,41.13,"Increase $5k-$19,999",1
14000US36047026600,026600,Bensonhurst West,Brooklyn,51250,47544,-3706,-7.23,Roughly unchanged (within +/-$5k),1
14000US36047026700,026700,Bedford,Brooklyn,64401,150386,85985,133.52,Increase >= $40k,1
14000US36047026900,026900,Bedford,Brooklyn,66534,96006,29472,44.30,"Increase $20k-$39,999",1
14000US36047027000,027000,Bensonhurst West,Brooklyn,50775,62083,11308,22.27,"Increase $5k-$19,999",1
14000US36047027200,027200,Bensonhurst West,Brooklyn,58477,59802,1325,2.27,Roughly unchanged (within +/-$5k),1
14000US36047027300,027300,Stuyvesant Heights,Brooklyn,56786,122093,65307,115.01,Increase >= $40k,1
14000US36047027800,027800,Bensonhurst West,Brooklyn,57202,68792,11590,20.26,"Increase $5k-$19,999",1
14000US36047027900,027900,Stuyvesant Heights,Brooklyn,64700,91771,27071,41.84,"Increase $20k-$39,999",1
14000US36047028400,028400,Bensonhurst West,Brooklyn,61331,59954,-1377,-2.25,Roughly unchanged (within +/-$5k),1
14000US36047028800,028800,Bensonhurst West,Brooklyn,55625,77042,21417,38.50,"Increase $20k-$39,999",1
14000US36047029100,029100,Stuyvesant Heights,Brooklyn,80526,88153,7627,9.47,"Increase $5k-$19,999",1
14000US36047029300,029300,Stuyvesant Heights,Brooklyn,42238,36833,-5405,-12.80,"Decline $5k-$19,999",1
14000US36047029800,029800,Bensonhurst East,Brooklyn,55060,61059,5999,10.90,"Increase $5k-$19,999",1
14000US36047030000,030000,Bensonhurst East,Brooklyn,52663,73981,21318,40.48,"Increase $20k-$39,999",1
14000US36047030900,030900,Crown Heights North,Brooklyn,46309,66889,20580,44.44,"Increase $20k-$39,999",1
14000US36047031701,031701,Crown Heights North,Brooklyn,78750,101806,23056,29.28,"Increase $20k-$39,999",1
14000US36047032900,032900,Prospect Lefferts Gardens-Wingate,Brooklyn,44922,92193,47271,105.23,Increase >= $40k,1
14000US36047033900,033900,Crown Heights North,Brooklyn,40417,61979,21562,53.35,"Increase $20k-$39,999",1
14000US36047034100,034100,Crown Heights North,Brooklyn,51250,95300,44050,85.95,Increase >= $40k,1
14000US36047034200,034200,Seagate-Coney Island,Brooklyn,17932,22872,4940,27.55,Roughly unchanged (within +/-$5k),1
14000US36047038800,038800,Homecrest,Brooklyn,64375,83558,19183,29.80,"Increase $5k-$19,999",1
14000US36047039600,039600,Homecrest,Brooklyn,64375,69563,5188,8.06,"Increase $5k-$19,999",1
14000US36047039900,039900,Bushwick South,Brooklyn,51776,50329,-1447,-2.79,Roughly unchanged (within +/-$5k),1
14000US36047040400,040400,Bensonhurst East,Brooklyn,61087,106442,45355,74.25,Increase >= $40k,1
14000US36047041300,041300,Bushwick South,Brooklyn,63750,110996,47246,74.11,Increase >= $40k,1
14000US36047041401,041401,Homecrest,Brooklyn,67972,71944,3972,5.84,Roughly unchanged (within +/-$5k),1
14000US36047041500,041500,Bushwick South,Brooklyn,64844,96110,31266,48.22,"Increase $20k-$39,999",1
14000US36047041700,041700,Bushwick South,Brooklyn,24433,32028,7595,31.09,"Increase $5k-$19,999",1
14000US36047041900,041900,Bushwick South,Brooklyn,56550,73958,17408,30.78,"Increase $5k-$19,999",1
14000US36047042800,042800,Bensonhurst East,Brooklyn,60708,88656,27948,46.04,"Increase $20k-$39,999",1
14000US36047042900,042900,Bushwick North,Brooklyn,50170,65000,14830,29.56,"Increase $5k-$19,999",1
14000US36047043000,043000,Bensonhurst East,Brooklyn,38160,75417,37257,97.63,"Increase $20k-$39,999",1
14000US36047043300,043300,Bushwick North,Brooklyn,24766,59551,34785,140.45,"Increase $20k-$39,999",1
14000US36047043400,043400,Bensonhurst East,Brooklyn,49013,66763,17750,36.21,"Increase $5k-$19,999",1
14000US36047043500,043500,Bushwick North,Brooklyn,66923,67778,855,1.28,Roughly unchanged (within +/-$5k),1
14000US36047043600,043600,Bensonhurst East,Brooklyn,57901,83284,25383,43.84,"Increase $20k-$39,999",1
14000US36047044000,044000,Ocean Parkway South,Brooklyn,51420,88344,36924,71.81,"Increase $20k-$39,999",1
14000US36047044100,044100,Bushwick North,Brooklyn,47754,78526,30772,64.44,"Increase $20k-$39,999",1
14000US36047044200,044200,Ocean Parkway South,Brooklyn,76046,62708,-13338,-17.54,"Decline $5k-$19,999",1
14000US36047044300,044300,Bushwick North,Brooklyn,50263,94517,44254,88.04,Increase >= $40k,1
14000US36047044400,044400,Ocean Parkway South,Brooklyn,51975,67554,15579,29.97,"Increase $5k-$19,999",1
14000US36047044600,044600,Borough Park,Brooklyn,63708,69099,5391,8.46,"Increase $5k-$19,999",1
14000US36047045200,045200,Ocean Parkway South,Brooklyn,82532,74250,-8282,-10.03,"Decline $5k-$19,999",1
14000US36047045400,045400,Ocean Parkway South,Brooklyn,66364,94607,28243,42.56,"Increase $20k-$39,999",1
14000US36047047000,047000,Borough Park,Brooklyn,61033,75069,14036,23.00,"Increase $5k-$19,999",1
14000US36047047200,047200,Borough Park,Brooklyn,60054,71635,11581,19.28,"Increase $5k-$19,999",1
14000US36047049500,049500,East Williamsburg,Brooklyn,92120,141250,49130,53.33,Increase >= $40k,1
14000US36047050300,050300,East Williamsburg,Brooklyn,96216,173548,77332,80.37,Increase >= $40k,1
14000US36047050500,050500,East Williamsburg,Brooklyn,41629,57500,15871,38.12,"Increase $5k-$19,999",1
14000US36047051001,051001,Flatbush,Brooklyn,55435,59583,4148,7.48,Roughly unchanged (within +/-$5k),1
14000US36047051400,051400,Flatbush,Brooklyn,64259,100000,35741,55.62,"Increase $20k-$39,999",1
14000US36047051601,051601,Flatbush,Brooklyn,59223,72304,13081,22.09,"Increase $5k-$19,999",1
14000US36047051700,051700,North Side-South Side,Brooklyn,126649,234444,107795,85.11,Increase >= $40k,1
14000US36047051800,051800,Flatbush,Brooklyn,64211,112589,48378,75.34,Increase >= $40k,1
14000US36047052800,052800,Flatbush,Brooklyn,87212,121000,33788,38.74,"Increase $20k-$39,999",1
14000US36047053200,053200,Midwood,Brooklyn,65972,72500,6528,9.90,"Increase $5k-$19,999",1
14000US36047053400,053400,Midwood,Brooklyn,39917,83421,43504,108.99,Increase >= $40k,1
14000US36047053800,053800,Midwood,Brooklyn,55027,65556,10529,19.13,"Increase $5k-$19,999",1
14000US36047054400,054400,Midwood,Brooklyn,60707,55938,-4769,-7.86,Roughly unchanged (within +/-$5k),1
14000US36047055000,055000,Madison,Brooklyn,60851,59955,-896,-1.47,Roughly unchanged (within +/-$5k),1
14000US36047055200,055200,Madison,Brooklyn,74395,69861,-4534,-6.09,Roughly unchanged (within +/-$5k),1
14000US36047055800,055800,Madison,Brooklyn,76797,61786,-15011,-19.55,"Decline $5k-$19,999",1
14000US36047056000,056000,Madison,Brooklyn,50833,74104,23271,45.78,"Increase $20k-$39,999",1
14000US36047056200,056200,Madison,Brooklyn,88221,102083,13862,15.71,"Increase $5k-$19,999",1
14000US36047056400,056400,Madison,Brooklyn,82344,86392,4048,4.92,Roughly unchanged (within +/-$5k),1
14000US36047056600,056600,Madison,Brooklyn,83849,69286,-14563,-17.37,"Decline $5k-$19,999",1
14000US36047056800,056800,Madison,Brooklyn,86250,75521,-10729,-12.44,"Decline $5k-$19,999",1
14000US36047057000,057000,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,75761,80216,4455,5.88,Roughly unchanged (within +/-$5k),1
14000US36047057200,057200,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,24958,31864,6906,27.67,"Increase $5k-$19,999",1
14000US36047057400,057400,Madison,Brooklyn,85673,92813,7140,8.33,"Increase $5k-$19,999",1
14000US36047057600,057600,Madison,Brooklyn,80625,98750,18125,22.48,"Increase $5k-$19,999",1
14000US36047057800,057800,Madison,Brooklyn,47466,61919,14453,30.45,"Increase $5k-$19,999",1
14000US36047058000,058000,Madison,Brooklyn,61184,38945,-22239,-36.35,"Decline $20k-$39,999",1
14000US36047058600,058600,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,71758,70167,-1591,-2.22,Roughly unchanged (within +/-$5k),1
14000US36047059200,059200,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,53177,61944,8767,16.49,"Increase $5k-$19,999",1
14000US36047059401,059401,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,61283,,,,No data,0
14000US36047059402,059402,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,97500,68625,-28875,-29.62,"Decline $20k-$39,999",1
14000US36047063200,063200,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,68182,82941,14759,21.65,"Increase $5k-$19,999",1
14000US36047063600,063600,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,109479,148056,38577,35.24,"Increase $20k-$39,999",1
14000US36047063800,063800,Madison,Brooklyn,103438,82188,-21250,-20.54,"Decline $20k-$39,999",1
14000US36047064000,064000,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,120885,143214,22329,18.47,"Increase $20k-$39,999",1
14000US36047064600,064600,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,95391,99067,3676,3.85,Roughly unchanged (within +/-$5k),1
14000US36047064800,064800,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,108438,111406,2968,2.74,Roughly unchanged (within +/-$5k),1
