store_id,store,zip,city,nearest_count,existing_note
629357,LONDON GROCERY,10001,NEW YORK,4,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
753149,NERYS GROCERY STORE,10456,BRONX,4,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
738200,S&D GROCERY STORE,11212,BROOKLYN,4,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
752689,LQA GROCERY,11224,BROOKLYN,4,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
752403,WJL GROCERY,10002,NEW YORK,3,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627820,2037 MEAT&GROCERY,10029,NEW YORK,3,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
727324,UNITED GROCERY FRESH FOOD,11207,BROOKLYN,3,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
724287,77 AVE D GROCERY STORE,10009,NEW YORK,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
727475,NUR GROCERY,10009,NEW YORK,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
749049,POLO GROUND FOOD GROCERY,10039,NEW YORK,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
761509,ASIAN YANG SUPERMARKET,10305,STATEN ISLAND,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
760464,BROTHERS GROCERY & CONVENIENCE,10451,BRONX,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
718305,DON JOSE MEXICANS GROCERY,10454,BRONX,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
722504,CRYSTAL JAIDA GROCERY,10459,BRONX,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
763947,MY NEIGHBORS GROCERY,11101,LONG ISLAND CITY,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
722575,147 FRIENDS GROCERY,11205,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
762832,ETHANS GROCERY,11206,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
756444,GOLDEN FOOD AND GROCERY,11212,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
735616,MATTHEW GROCERY STORE,11212,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
742509,L & E GROCERY,11213,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
709282,PAPA FIRO GROCERY,11217,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
746466,JJ GOURMET GROCERY,11233,BROOKLYN,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
717815,A Y FAMILY GROCERY,11432,JAMAICA,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
722166,FAMOSA GROCERY,11433,JAMAICA,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
730240,MIMI ECOWAS GROCERY STORE,11435,JAMAICA,2,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627543,47 PITT GROCERY,10002,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
765187,FU YUN GROCERY,10002,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
736151,HENG YUN GROCERY,10002,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
730092,MAYIMBE GROCERY,10002,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
620941,BANGKOK CENTER GROCERY,10013,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
624379,YEM SANALI GROCERY,10019,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
728357,EAST SIDE GROCERY,10021,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
629208,82ND STREET GROCERY,10024,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
628712,1517 NEW BANI GROCERY,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
757970,GROCERY GUATEMAYA,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
623301,L&O GROCERY,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
628087,LA COSTENITA GROCERY,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
726762,LA PALOMA CANDY & GROCERY,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
759169,PAMELA GROCERY STORE,10029,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
734403,CJP SUPERMARKET,10034,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
730427,OUR COMMUNITY GROCERY,10035,NEW YORK,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
730820,ALPER GROCERY,10301,STATEN ISLAND,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
717198,TEJADA GROCERY STORE,10301,STATEN ISLAND,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
733497,MARKET FRESH SUPERMARKET,10305,STATEN ISLAND,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
759068,CAZARES GROCERY,10451,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
608702,180 PENA GROCERY,10452,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
708020,FEATHERBED LANE GROCERY,10452,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
719769,JULIAN GROCERY,10453,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
752066,362 GROCERY,10454,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
747695,TELLO GROCERY,10454,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
740227,D MI MUNECA GROCERY,10455,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
715201,735 SUPERMARKET,10456,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
728448,AYLIN GROCERY STORE,10456,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
600314,FRANCIS GROCERY,10456,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
731782,KADIJA SUPERMARKET,10456,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
764879,1 NEYMAR CANDY GROCERY,10459,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
754673,PERLA GROCERY,10459,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
740178,CACHEO GROCERY STORE,10460,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
761637,HOE CANDY GROCERY,10460,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
749891,JORDAN SUPERMARKET,10460,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
607283,TONY FRUITS & GROCERY,10460,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
605747,S&W SUPERMARKET,10465,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
768373,2490 GROCERY HOUSEWARE,10469,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
766017,1203 WEST INDIAN GROCERY,10472,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
736203,1537 GROCERY,10472,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
741856,AGRAMONTE GROCERY STORE,10472,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
724428,NEW MEXICAN FRUITS & GROCERY,10472,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
606667,MAMA FIFI GROCERY,10473,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
718789,CT GROCERY NY,10474,BRONX,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
728723,MARY'S GROCERY AND TAQUERIA,11102,ASTORIA,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
764985,A&C WENDY GROCERY,11103,ASTORIA,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
703469,GREENFRESH SUPERMARKET,11205,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
613343,VILLA TAPIA GROCERY NY,11205,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
703442,GROCERY & MEAT MARKET,11206,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
708221,LA UNION FRUIT AND GROCERY,11206,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
616599,G&R GROCERY STORE,11207,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
619352,MARIEN GROCERY,11207,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
735679,1149 YAMASA GROCERY,11208,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
619832,LUNA GROCERY STORE,11208,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
751172,D&J GROCERY SPANISH FOOD INC,11211,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
758652,RODRIGUEZ FAMILY GROCERY,11212,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
729959,G 200 GROCERY,11217,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
670753,H&I GROCERY,11223,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
744650,FOOD WORLD SUPERMARKET,11236,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
612209,BED-ROSS GROCERY,11249,BROOKLYN,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
762422,CLOUD GROCERY,11354,FLUSHING,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
735994,KW SUPERMARKET,11354,FLUSHING,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
760619,41 AVE ASIAN GROCERY STORE,11355,FLUSHING,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
753774,EAT FAIR GROCERY,11356,COLLEGE POINT,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
749972,A&E SUPERMARKET,11412,SAINT ALBANS,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
631834,KARINA GROCERY,11423,HOLLIS,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
722124,GRAY GROCERY,11432,JAMAICA,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
762663,LA FAMILIA II GROCERY,11433,JAMAICA,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
753625,ACY GROCERY,11691,FAR ROCKAWAY,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
717973,DENNISEIS GROCERY,11691,FAR ROCKAWAY,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
637770,AAA GROCERY,11692,ARVENE,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
742027,FAST N FRESH SUPERMARKET,11693,FAR ROCKAWAY,1,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
706102,CHINATOWN SUPERMARKET OF MANHATTAN,10002,NEW YORK,0,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
738005,ZHENGS GROCERY STORE,10002,NEW YORK,0,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627244,EAST WAY GROCERY,10003,NEW YORK,0,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
