rank,store_id,store,zip,city,nearest_count,search_url_1,search_url_2,verification_status,verified_source_name,verified_source_url,verification_notes
1,629357,LONDON GROCERY,10001,NEW YORK,4,https://duckduckgo.com/?q=%22LONDON%20GROCERY%22%20%2210001%22%20weekly%20ad,https://duckduckgo.com/?q=%22LONDON%20GROCERY%22%20%2210001%22%20circular%20OR%20flyer,pending_manual_review,,,
2,753149,NERYS GROCERY STORE,10456,BRONX,4,https://duckduckgo.com/?q=%22NERYS%20GROCERY%20STORE%22%20%2210456%22%20weekly%20ad,https://duckduckgo.com/?q=%22NERYS%20GROCERY%20STORE%22%20%2210456%22%20circular%20OR%20flyer,pending_manual_review,,,
3,738200,S&D GROCERY STORE,11212,BROOKLYN,4,https://duckduckgo.com/?q=%22S%26D%20GROCERY%20STORE%22%20%2211212%22%20weekly%20ad,https://duckduckgo.com/?q=%22S%26D%20GROCERY%20STORE%22%20%2211212%22%20circular%20OR%20flyer,pending_manual_review,,,
4,752689,LQA GROCERY,11224,BROOKLYN,4,https://duckduckgo.com/?q=%22LQA%20GROCERY%22%20%2211224%22%20weekly%20ad,https://duckduckgo.com/?q=%22LQA%20GROCERY%22%20%2211224%22%20circular%20OR%20flyer,pending_manual_review,,,
5,752403,WJL GROCERY,10002,NEW YORK,3,https://duckduckgo.com/?q=%22WJL%20GROCERY%22%20%2210002%22%20weekly%20ad,https://duckduckgo.com/?q=%22WJL%20GROCERY%22%20%2210002%22%20circular%20OR%20flyer,pending_manual_review,,,
6,627820,2037 MEAT&GROCERY,10029,NEW YORK,3,https://duckduckgo.com/?q=%222037%20MEAT%26GROCERY%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%222037%20MEAT%26GROCERY%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
7,727324,UNITED GROCERY FRESH FOOD,11207,BROOKLYN,3,https://duckduckgo.com/?q=%22UNITED%20GROCERY%20FRESH%20FOOD%22%20%2211207%22%20weekly%20ad,https://duckduckgo.com/?q=%22UNITED%20GROCERY%20FRESH%20FOOD%22%20%2211207%22%20circular%20OR%20flyer,pending_manual_review,,,
8,724287,77 AVE D GROCERY STORE,10009,NEW YORK,2,https://duckduckgo.com/?q=%2277%20AVE%20D%20GROCERY%20STORE%22%20%2210009%22%20weekly%20ad,https://duckduckgo.com/?q=%2277%20AVE%20D%20GROCERY%20STORE%22%20%2210009%22%20circular%20OR%20flyer,pending_manual_review,,,
9,727475,NUR GROCERY,10009,NEW YORK,2,https://duckduckgo.com/?q=%22NUR%20GROCERY%22%20%2210009%22%20weekly%20ad,https://duckduckgo.com/?q=%22NUR%20GROCERY%22%20%2210009%22%20circular%20OR%20flyer,pending_manual_review,,,
10,749049,POLO GROUND FOOD GROCERY,10039,NEW YORK,2,https://duckduckgo.com/?q=%22POLO%20GROUND%20FOOD%20GROCERY%22%20%2210039%22%20weekly%20ad,https://duckduckgo.com/?q=%22POLO%20GROUND%20FOOD%20GROCERY%22%20%2210039%22%20circular%20OR%20flyer,pending_manual_review,,,
11,761509,ASIAN YANG SUPERMARKET,10305,STATEN ISLAND,2,https://duckduckgo.com/?q=%22ASIAN%20YANG%20SUPERMARKET%22%20%2210305%22%20weekly%20ad,https://duckduckgo.com/?q=%22ASIAN%20YANG%20SUPERMARKET%22%20%2210305%22%20circular%20OR%20flyer,pending_manual_review,,,
12,760464,BROTHERS GROCERY & CONVENIENCE,10451,BRONX,2,https://duckduckgo.com/?q=%22BROTHERS%20GROCERY%20%26%20CONVENIENCE%22%20%2210451%22%20weekly%20ad,https://duckduckgo.com/?q=%22BROTHERS%20GROCERY%20%26%20CONVENIENCE%22%20%2210451%22%20circular%20OR%20flyer,pending_manual_review,,,
13,718305,DON JOSE MEXICANS GROCERY,10454,BRONX,2,https://duckduckgo.com/?q=%22DON%20JOSE%20MEXICANS%20GROCERY%22%20%2210454%22%20weekly%20ad,https://duckduckgo.com/?q=%22DON%20JOSE%20MEXICANS%20GROCERY%22%20%2210454%22%20circular%20OR%20flyer,pending_manual_review,,,
14,722504,CRYSTAL JAIDA GROCERY,10459,BRONX,2,https://duckduckgo.com/?q=%22CRYSTAL%20JAIDA%20GROCERY%22%20%2210459%22%20weekly%20ad,https://duckduckgo.com/?q=%22CRYSTAL%20JAIDA%20GROCERY%22%20%2210459%22%20circular%20OR%20flyer,pending_manual_review,,,
15,763947,MY NEIGHBORS GROCERY,11101,LONG ISLAND CITY,2,https://duckduckgo.com/?q=%22MY%20NEIGHBORS%20GROCERY%22%20%2211101%22%20weekly%20ad,https://duckduckgo.com/?q=%22MY%20NEIGHBORS%20GROCERY%22%20%2211101%22%20circular%20OR%20flyer,pending_manual_review,,,
16,722575,147 FRIENDS GROCERY,11205,BROOKLYN,2,https://duckduckgo.com/?q=%22147%20FRIENDS%20GROCERY%22%20%2211205%22%20weekly%20ad,https://duckduckgo.com/?q=%22147%20FRIENDS%20GROCERY%22%20%2211205%22%20circular%20OR%20flyer,pending_manual_review,,,
17,762832,ETHANS GROCERY,11206,BROOKLYN,2,https://duckduckgo.com/?q=%22ETHANS%20GROCERY%22%20%2211206%22%20weekly%20ad,https://duckduckgo.com/?q=%22ETHANS%20GROCERY%22%20%2211206%22%20circular%20OR%20flyer,pending_manual_review,,,
18,756444,GOLDEN FOOD AND GROCERY,11212,BROOKLYN,2,https://duckduckgo.com/?q=%22GOLDEN%20FOOD%20AND%20GROCERY%22%20%2211212%22%20weekly%20ad,https://duckduckgo.com/?q=%22GOLDEN%20FOOD%20AND%20GROCERY%22%20%2211212%22%20circular%20OR%20flyer,pending_manual_review,,,
19,735616,MATTHEW GROCERY STORE,11212,BROOKLYN,2,https://duckduckgo.com/?q=%22MATTHEW%20GROCERY%20STORE%22%20%2211212%22%20weekly%20ad,https://duckduckgo.com/?q=%22MATTHEW%20GROCERY%20STORE%22%20%2211212%22%20circular%20OR%20flyer,pending_manual_review,,,
