store_id,store,zip,price_date,source_name,source_url,price_type,eggs,milk,bread,chicken_lb,avocados_lb,bananas_lb,tomatoes_lb,strawberries_lb,collard_greens_bunch,notes
629357,LONDON GROCERY,10001,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627543,47 PITT GROCERY,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
706102,CHINATOWN SUPERMARKET OF MANHATTAN,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
765187,FU YUN GROCERY,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
736151,HENG YUN GROCERY,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
730092,MAYIMBE GROCERY,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
752403,WJL GROCERY,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
738005,ZHENGS GROCERY STORE,10002,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627244,EAST WAY GROCERY,10003,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
625080,VILLAGE FARM&GROCERY,10003,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
724287,77 AVE D GROCERY STORE,10009,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
624017,BROTHERS CANDY&GROCERY,10009,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
727475,NUR GROCERY,10009,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
767911,USA GOURMET GROCERY,10010,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
625236,WESTSIDE SUPERMARKET,10011,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
620941,BANGKOK CENTER GROCERY,10013,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
757811,HAPPIER GROCERY,10013,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
739956,HENG XING GROCERY STORE,10013,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627954,HONG KONG SUPERMARKET,10013,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627947,SUN VIN GROCERY,10013,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
727280,D'AGOSTINO SUPERMARKET #550,10016,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
758876,SOLIMAN'S GROCERY,10017,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
624379,YEM SANALI GROCERY,10019,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
728357,EAST SIDE GROCERY,10021,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
629208,82ND STREET GROCERY,10024,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
628211,JUANA GROCERY,10025,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
734050,JOES GROCERY,10026,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
711538,WEST HARLEM GROCERY,10026,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
625487,CROWN GROCERY,10027,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
628712,1517 NEW BANI GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
744456,1781 LEX GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
627820,2037 MEAT&GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
710702,EAST 110 CANDY GROCERY,10029,,,,,,,,,,,,,,No chain circular match found. Add a manual source URL from this store's own ad/flyer.
